Item,Terms,Level,Tense,Suitable response categories,Direction,Context,Contributor,Date,AI-drafted,Reviewed/edited
I felt that what I did was worthwhile.,Worthwhileness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I used my creativity.,Creativity,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt part of the social groups around me.,Social integration,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to relax.,Relaxation,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt peaceful.,Peacefulness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had time to for recreation.,"Recreation,Spare time",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had time do things I enjoy.,"Leisure,Enjoyment",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to do the things I needed to do.,Functioning,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I avoided dealing with difficult problems.,Avoidance coping,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt healthy overall.,General health,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I managed my thoughts and feelings well.,Self-regulation,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to make decisions well.,Decision-making,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was physically able to do my daily activities.,"Physical function, Daily activities",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt emotionally close to someone.,Closeness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt connected to other people.,Connection,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt regret about things I did or didn't do.,Regret,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I regret things I did or didn't do.,Regret,Narratives,Present,"Agree-disagree, Not true-very true",-1,General,1,14/06/2025,y,y
I was aware of my thoughts and feelings.,Self-awareness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had support from people around me.,Support,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I slept well.,Sleep,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that I had worth as a person.,Self-worth,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt good.,Positive feelings,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel content with my life.,Contentment,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt others cared about me.,Care,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt well overall.,Personal wellbeing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt safe.,Safety,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that things in my life had meaning.,Meaningfulness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I made progress toward goals that matter to me.,"Progress,Goals",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
My relationships with others are healthy.,Positive relationships,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I managed my daily activities well.,Daily activities,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I stay strong during tough times.,Hardiness,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt spiritually well.,Spiritual wellbeing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt free to be myself.,Freedom,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt capable in my daily life.,Personal competence,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt able to handle whatever came my way.,General self-efficacy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had emotional or mental health symptoms.,Psychological symptoms,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I expected good things to happen.,Positive expectancy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I took part in social activities.,Social activities,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt afraid.,Fear,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt angry.,Anger,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt sad.,Sadness,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt like things had no meaning.,"Meaninglessness,Meaning",Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt understood by others.,Understanding,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I ate in a way that felt healthy.,Nutrition,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt confident in social situations.,Social self-efficacy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I drew on my faith.,Faith,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that I mattered to others.,Mattering,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt proud of myself.,Pride,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt my surroundings supported my wellbeing.,Environmental wellbeing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt negative emotions that were hard to manage.,"Negative emotion,Self-regulation",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I followed through on what I committed to.,Commitment,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel satisfied with how things are going.,Satisfaction,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I had enough energy to do what I needed.,"Energy level,Energy",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had physical symptoms that bothered me.,Physical symptoms,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I made a positive difference for others.,Social contribution,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I learned something new about myself.,Self-discovery,Experiences,Past,Agree-disagree,1,General,1,14/06/2025,y,y
I reached out to others for support.,Seeking social support,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt the natural environment around me was healthy.,Environmental health,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt good about my personal relationships.,Personal relationships,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to do things on my own.,Independence,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I accept myself as I am.,Self-acceptance,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I worried about things.,Worry,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I took part in activities I enjoy.,"Activities,Enjoyment",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I volunteered my time or energy for others.,Volunteering,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that things happening around me made sense.,Comprehensability,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I avoided dealing with difficult emotions or situations.,Avoidance,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt strong emotions.,Affect,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel okay about my financial situation.,Money,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I compared myself to others.,Social comparison,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt peaceful inside.,Inner peace,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt mentally or emotionally stimulated.,Stimulation,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I recognise good things that come out of difficult experiences.,"Benefit-finding,Meaning,Difficulty",Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I followed my own values and interests.,Autonomy orientation,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt confident in myself.,Confidence,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I found things to laugh about.,Humor,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I received emotional support from others.,Emotional support,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I used humour to lighten situations.,Humour,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to take a broader view of things.,Perspective,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt appreciation for people or things in my life.,Appreciation,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt positive about school.,School,Experiences,Past,"Agree-disagree, Never-Often",1,Education,1,14/06/2025,y,y
I felt physically fit.,Physical fitness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt stressed.,Stress,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I looked after my body.,Personal care,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel I am becoming the person I want to be.,Self-actualization,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt a sense of awe or wonder.,"Awe,Wonder",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt upset.,Feeling upset,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I felt good overall.,Positive wellbeing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt respected by others.,"Status, Respect",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt that my life had significance.,Significance,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I made plans for the future.,Planning,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had fun.,Fun,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I took responsibility for things that mattered.,Responsibility,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I have been growing as a person.,Growth,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I was able to concentrate on what I was doing.,Concentration,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt accepted by others.,Social acceptance,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I adapted well to new situations.,Adaptability,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel good about my home environment.,Home,Circumstances,Past,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I was able to walk as I needed to.,Walking,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
"If I needed practical help, I could have received it.",Tangible support,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel positively about myself.,Self-evaluation,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
My social relationships felt positive.,Social relationships,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to dress myself without difficulty.,Dressing,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I experienced more positive emotions than negative emotions.,"Emotions, Positive emotions, Negative emotions",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt a deep sense of serenity.,Serenity,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt affection from others.,Affection,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I gave affection to someone.,Affection,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I helped others when I could.,Helping others,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was flexible in how I responded to things.,Flexibility,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt good about my physical wellbeing.,Physical quality of life,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I lived in a way that reflected my values.,Valued living,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had the inner resources I needed.,Personal resources,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had no difficulty eating.,Eating,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I can think about things in different ways.,Cognitive flexibility,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt joyful.,Joy,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
My life feels rich.,Eudiamonic wellbeing,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I made progress on my plans.,"Plans, Progress",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt more happy than depressed.,Depression-happiness,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had opportunities that mattered to me.,Opportunity,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I faced difficulties that tested me.,Adversity,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt energetic.,Energetic,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was able to make my own choices.,Choice,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
My social life was rewarding.,Social health,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt tired.,Tiredness,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I have make sense of my past.,Meaning-making,Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
I felt companionship with someone.,Companionship,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I was physically active.,Physical activity,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I prayed.,Prayer,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt satisfied with my standard of living.,"Standard of living, Satisfaction",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I feel in control of my circumstances.,"Environmental mastery, Control",Narratives,Present,"Agree-disagree, Not true-very true",1,General,1,14/06/2025,y,y
"I fulfilled my social roles well (e.g. parent, friend, partner, employee).",Social function,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I physically exercised my body.,Exercise,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I spent time in nature.,Nature,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I felt at peace.,Peace,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I recovered well from challenges.,"Resiliency, Challenge",Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I had social contact with others.,Social contact,Experiences,Past,"Agree-disagree, Never-Often",1,General,1,14/06/2025,y,y
I experienced difficulty during sexual activity.,Sexual function,Experiences,Past,"Agree-disagree, Never-Often",-1,General,1,14/06/2025,y,y
I put effort into what I was doing.,Effort,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had support from family when I needed it.,Social resources (family),Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to control my impulses or reactions.,Self-control,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt hopeful about my future satisfaction with life.,Future life satisfaction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took part in spiritual activities.,Spiritual activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that society made sense to me.,Social coherence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I found useful ways to solve problems.,Problem solving,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my social life.,Social life,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I made a meaningful contribution to others or my community.,Contribution,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I found a positive way to look at a difficult situation.,Positive reappraisal,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt worthless.,Worthlessness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was aware of what was happening in the present moment.,Awareness in the present,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt blocked from doing what I wanted to do.,Obstruction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt fulfilled in my spiritual life.,Spiritual life,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had a clear vision for my life or future.,Vision,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt emotionally close to someone.,Intimacy,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my sexual relationship.,Sexual relationship,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I could see clear paths toward my goals.,Pathways thinking,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept going even when it was hard.,Persistence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had satisfying relationships with others.,Satisfying interpersonal relationships,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I expressed myself openly.,Self-expression,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt a strong sense of purpose in my life.,Life purpose,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I lived in a way that reflected my values.,Values,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to manage my emotions effectively.,Emotion regulation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt bored.,Boredom,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt motivated to take action.,Motivation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt ready to respond positively to situations.,Positive readiness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by acting out or withdrawing from others.,Active-antisocial coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt financially secure and stable.,Economic wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by reaching out and helping others.,Active-prosocial coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I used both active and avoidant ways to cope.,Active-passive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had a positive outlook on life.,Outlook on life,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I believed it was important to stay able to do daily tasks.,Belief in the importance of functionality ability,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took steps to deal with problems directly.,Active coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I laughed often.,Laughter,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I did things because they brought me pleasure.,Hedonic motives,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt true to myself.,Authenticity,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt positively about myself.,Positive self-regard,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
